"Import Options from Product (SKU):","Import Options from Product (SKU):"
"Id","Id"
"Children","Children"
"Click to select","Click to select"
"Click to hide","Click to hide"
"Invalid row Ids","Invalid row Ids"
"Product SKU "%s" does not exist.","Product SKU "%s" does not exist."
"Skip import row, required field "%s" not defined","Skip import row, required field "%s" not defined"
"Skip import row, the product with SKU "%s" does not exist","Skip import row, the product with SKU "%s" does not exist"
"Skip import row, value "%s" is not valid for field "%s". Valid values for the field "%s" are: %s.","Skip import row, value "%s" is not valid for field "%s". Valid values for the field "%s" are: %s."
"Skip import row, required field "%s" for option type "%s" is not defined","Skip import row, required field "%s" for option type "%s" is not defined"
